Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
19985331-b901-4cb1-afbf-9b0e94b5a5f0,2020-03-01 08:54:40,Cross-Country Skiing,,90.00,10:44:00,7:09,8.39,5687.0,0,,"","",
10f044c5-a14a-428d-82b9-c3dccf8c94cf,2020-02-26 15:43:31,Cross-Country Skiing,,9.60,40:00,4:10,14.40,683.0,0,,"","",
08bfb7f0-1dae-4576-b406-1f782f6e74a8,2020-02-21 07:24:06,Cross-Country Skiing,,30.00,2:02:00,4:04,14.75,1808.0,0,,"","",
0834f31c-354b-4c5f-9c41-e188f35734cc,2020-02-15 11:25:40,Cross-Country Skiing,,50.00,4:30:03,5:24,11.11,3450.0,0,,"","",
665c359d-f8d8-48f8-a753-7388f40e405e,2020-02-14 15:18:27,Cross-Country Skiing,,10.00,1:03:00,6:18,9.52,578.0,0,,"","",
658679db-3bfc-48c3-930c-18ab8eebe40b,2020-02-14 11:34:41,Running,,13.32,1:26:50,6:31,9.20,613.904999999999,770,153,"","",
0c68327a-a9b9-422c-9cec-a120970c7a8a,2020-02-11 17:05:25,Cross-Country Skiing,,9.60,45:00,4:41,12.80,481.585550458716,0,,"","",
99da15b3-8eec-4a73-ac0f-bbc8ad6bd8af,2020-02-09 08:15:42,Cross-Country Skiing,,7.20,38:00,5:17,11.37,378.0,0,,"","",
c7770409-5a3f-453a-a98e-d75407c38df4,2020-02-07 11:00:58,Cross-Country Skiing,,50.40,3:30:00,4:10,14.40,2799.0,0,,"","",
9a167a7c-845d-45cb-ae7f-f43af389d044,2020-02-04 16:00:40,Cross-Country Skiing,,30.00,2:01:00,4:02,14.88,1483.0,0,,"","",
5a25e467-d3bc-4a88-b10a-807afb74945d,2020-01-31 14:14:53,Cross-Country Skiing,,13.20,59:00,4:28,13.42,659.0,0,,"","",
c5f6c87e-0402-49d8-a4fe-9e78fe009844,2020-01-29 16:21:25,Cross-Country Skiing,,12.00,50:00,4:10,14.40,595.0,0,,"","",
05bd72f8-ab64-4530-91d8-a00e38f7fa20,2020-01-21 14:05:54,Cross-Country Skiing,,12.00,55:00,4:35,13.09,601.0,0,,"","",
cfe01e1e-f584-4906-9b0e-ca0e18602d20,2020-01-20 09:20:23,Cross-Country Skiing,,12.00,45:23,3:47,15.86,570.0,0,,"","",
d4eecd0d-a6d0-48a5-a393-59b05795858e,2020-01-19 14:33:05,Cross-Country Skiing,,8.40,48:00,5:43,10.50,456.777575757576,0,,"","",
bdc2d7b7-2a4c-4b9d-8f2e-98aba3dfb469,2020-01-17 12:18:46,Cross-Country Skiing,,12.00,48:00,4:00,15.00,593.0,0,,"","",
5ae88c64-5c81-4e86-84a1-2da6faa10ff0,2020-01-09 16:13:15,Cross-Country Skiing,,30.00,2:06:00,4:12,14.29,1780.0,0,,"","",
e3df53a8-738a-4b1f-8316-99e9af40ef02,2020-01-05 19:27:22,Cross-Country Skiing,,9.60,41:00,4:16,14.05,477.0,0,,"","",
a9f42d0c-50a1-42bd-aa1d-22e6a5c5c94b,2020-01-04 09:10:12,Cross-Country Skiing,,7.20,31:00,4:18,13.94,358.0,0,,"","",
63664544-9ae2-4025-b6f7-7e3191a94f2d,2020-01-02 14:01:32,Cross-Country Skiing,,4.00,1:00:00,15:00,4.00,364.0,0,,"","Teknik",
cde11e81-9682-4307-ae81-918141fda4a6,2019-12-27 11:27:28,Cross-Country Skiing,,20.40,1:30:00,4:25,13.60,1017.0,0,,"","",
f501c840-511f-4657-9028-92d124d0bda4,2019-12-17 09:56:21,Cross-Country Skiing,,8.40,33:00,3:56,15.27,414.0,0,,"","",
cf74c8bd-9824-47df-a3fd-d97ac19d9e1e,2019-12-14 12:52:10,Cross-Country Skiing,,7.20,35:00,4:52,12.34,387.0,0,,"","Intervaller",
ec40c01b-2a64-4c1f-b8b5-bd21b0d8fcd8,2019-12-12 07:34:59,Cross-Country Skiing,,14.40,1:05:00,4:31,13.29,728.0,0,,"","",
47f03957-8aa5-4093-bfa4-aa8d68c81cb7,2019-12-09 20:01:36,Cross-Country Skiing,,30.00,2:08:03,4:16,14.06,1719.0,0,,"","",
8cb5e4bb-88d5-4209-9cf1-6a5cb468c214,2019-12-07 10:35:08,Cross-Country Skiing,,12.00,50:00,4:10,14.40,594.855504587156,0,,"","",
4d6c4a9f-08bf-486b-a575-df5d927fcf90,2019-12-06 13:27:36,Cross-Country Skiing,,14.40,1:02:00,4:18,13.94,716.0,0,,"","",
55fdf3ce-0e82-436c-80e9-0066ad60f66c,2019-12-05 17:50:13,Cross-Country Skiing,,20.40,1:50:00,5:24,11.13,1286.0,0,,"","",
f2f99711-7611-4de3-9a0e-7965c69e5291,2019-12-04 17:49:19,Cross-Country Skiing,,12.00,48:00,4:00,15.00,592.57504587156,0,,"","",
acc26a6b-5baf-4079-b146-ae90f08415a6,2019-12-01 12:36:35,Cross-Country Skiing,,18.00,1:20:00,4:27,13.50,897.984403669725,0,,"","",
9dce6713-8e44-473f-b8d8-ddce0a9d3090,2019-11-30 17:26:43,Cross-Country Skiing,,6.00,35:00,5:50,10.29,329.365909090909,0,,"","",
8aa1a171-a591-45ec-af66-e971dd31952f,2019-11-30 11:58:04,Cross-Country Skiing,,9.60,45:00,4:41,12.80,482.0,0,,"","",
010374ed-d427-4b33-a342-bc6e13eedc96,2019-11-28 19:28:18,Cross-Country Skiing,,12.00,49:00,4:05,14.69,621.0,0,,"","",
ccfa0d21-0609-4aa4-b639-98460ad7859e,2019-11-24 18:50:36,Cross-Country Skiing,,6.00,45:00,7:30,8.00,392.195871559633,0,,"","Teknikträning utan stavar",
4436d1b6-4743-4059-b67e-621fd1a79dfa,2019-11-22 14:43:29,Cross-Country Skiing,,12.00,49:03,4:05,14.68,594.0,0,,"","",
c4dbbb90-e0fe-4103-bec0-7d5b978ad3f0,2019-11-22 13:19:50,Cross-Country Skiing,,0.10,40:35,426:18,0.14,79.0,0,176,"","",2019-11-22-131950.gpx
79ae98f8-72d1-4f53-882c-c898c40dac9c,2019-11-12 18:44:32,Cross-Country Skiing,,12.00,49:00,4:05,14.69,594.0,0,,"","",
65c83a19-5003-4300-bff3-81bc6a021c22,2019-11-10 11:37:34,Cross-Country Skiing,,24.00,1:52:00,4:40,12.86,1203.39376146789,0,,"","",
e681e00b-e40b-48ab-9cce-9d04406ced90,2019-11-08 13:24:27,Cross-Country Skiing,,12.00,55:00,4:35,13.09,601.0,0,,"","",
6b1dc6fd-9068-47a7-980f-65a2bbfc5488,2019-11-07 07:43:43,Cross-Country Skiing,,9.60,45:00,4:41,12.80,482.0,0,,"","",
7ad8b14a-8bed-488f-b6b1-acf673d15b4d,2019-11-05 18:49:07,Cross-Country Skiing,,9.60,55:00,5:44,10.47,523.0,0,,"","",
0eccfc20-ad4a-4b38-b375-33df3f62898d,2019-11-04 15:17:35,Cross-Country Skiing,,20.40,1:47:00,5:15,11.44,1068.0,0,,"","",
d7240d3e-e7b3-4a86-b6b1-52341b62693d,2019-11-03 13:28:15,Cross-Country Skiing,,12.00,55:00,4:35,13.09,601.0,0,,"","",
a272b7e8-b20e-4733-88ee-9503df6e6ae6,2019-11-01 11:54:09,Cross-Country Skiing,,8.40,45:00,5:21,11.20,444.0,0,,"","",
23061923-95e6-4a20-9f69-d39d84a75bf1,2019-10-31 12:51:09,Cross-Country Skiing,,10.80,1:00:00,5:33,10.80,580.0,0,,"","",
b2953517-3fc8-4fd7-a1d6-693f8c873a18,2019-10-30 16:14:28,Cross-Country Skiing,,15.60,1:15:00,4:48,12.48,787.0,0,,"","",
df4393c6-60da-457b-b787-890bfb9580ae,2019-10-26 16:00:23,Cross-Country Skiing,,12.00,53:00,4:25,13.58,598.0,0,,"","",
9804f827-fd94-476b-8732-ce0575e3709c,2019-10-22 18:23:14,Cross-Country Skiing,,12.00,1:05:01,5:25,11.07,637.130578282828,0,,"","",
d0e8fed6-e9f9-4430-a121-6cdc836dfc0a,2019-10-20 10:08:33,Cross-Country Skiing,,7.20,1:15:00,10:25,5.76,578.0,0,,"","",
97be81c7-4b0a-4ee5-83b0-f27684407a62,2019-10-20 08:00:51,Cross-Country Skiing,,6.00,40:00,6:40,9.00,361.0,0,,"","",
84ac86c0-026d-4215-9861-f2af62325a1c,2019-10-18 08:00:03,Cross-Country Skiing,,6.00,35:00,5:50,10.29,329.0,0,,"","",
